// ----------------------------------------------------------------------------------
// Description:	Illusion Temple configuration
// ----------------------------------------------------------------------------------

//=====================================
// Intervals (all values in minutes)
//=====================================
0
// ----------------------------------------------------------------------------------
// 	OpeningTime	ReadyTime	PlayingTime	ClosingPlay
// ----------------------------------------------------------------------------------
	5		1		15		4
end

//=====================================
// Event timer (24 format)
//=====================================
1
// ----------------------------------------------------------------------------------
// 	Hour	Minute
// ----------------------------------------------------------------------------------
	1	00
	5	00
	9	00
	12	50
	12	00
	12	30
	13	00
	13	30
	14	00
	14	30
	15	00
	15	30
	16	00
	16	30
	17	00
	17	30
	18	00
	18	30
	19	00
	19	30
	20	00
	20	30
	21	00
	21	30
	22	00
	22	30
	23	00
	23	30
end
