// ----------------------------------------------------------------------------------
// Description:	Ring attack configuration
// ----------------------------------------------------------------------------------

//=====================================
// Intervals (all values in minutes)
//=====================================
0
// ----------------------------------------------------------------------------------
//	Opening	Playing	Closing
// ----------------------------------------------------------------------------------
	1	10	9
end

//=====================================
// Monster move
//=====================================
1
// ----------------------------------------------------------------------------------
//	Random	RadMin	RadMax
// ----------------------------------------------------------------------------------
	15	3	6
end

//=====================================
// Monster data
//=====================================
2
// ----------------------------------------------------------------------------------
//	Monster	Regen	AgroMode
// ----------------------------------------------------------------------------------
	135	0	1
	136	0	1
	136	0	1
	136	0	1
	136	0	1
	136	0	1
	136	0	1
	136	0	1
	136	0	1
	136	0	1
	135	0	1
	136	0	1
	136	0	1
	136	0	1
	136	0	1
	136	0	1
	137	0	1
	137	0	1
	137	0	1
	137	0	1
	137	0	1
end


//=====================================
// Event timer (24 format)
//=====================================
3
// ----------------------------------------------------------------------------------
// 	Hour	Minute
// ----------------------------------------------------------------------------------
	00	25
	01	25
	02	25
	03	25
	04	25
	05	25
	06	25
	07	25
	08	25
	09	25
	10	25
	11	25
	12	25
	13	25
	14	25
	15	25
	16	25
	17	25
	18	25
	19	25
	19      40
	20	25
	21	25
	22	25
	23	25
end
